id,card_holder_id,card_issuer_id,organization_id,name_on_card,card_type,status,status_reason,last_four_digits,created_at,updated_at,deleted_at,card_color,active_since,issue_date,mcc_list_id,financial_account_id,expiry_date,card_nickname,subtype,issuance_reason,card_product_type,issuer_id,card_product_id,scheme,allow_atm
XENDOSw_4YFR3IA5GUqGN,46,46,11,Petty Cash PRO,VIRTUAL,TERMINATED,,1214,2022-08-31T09:10:19.764Z,2023-01-20T10:03:43.241Z,,EGGSHELL_CARNIVAL,2022-08-31T09:10:22.000Z,2022-08-31T09:10:19.736Z,,RcYNaxmVGxU70qQXeiQRC,,,REGULAR,,,NymCard-ARE-AED,NymCard-ARE-AED-Virtual,VISA,TRUE
Uteg91DGmTYeBaZlBEBRx,46,46,11,User 1,VIRTUAL,ACTIVE,,8130,2023-10-17T05:09:01.770Z,2023-10-17T05:09:06.591Z,,CHEESECAKE_PANDA,2023-10-17T05:09:06.000Z,2023-10-17T05:09:06.000Z,,RcYNaxmVGxU70qQXeiQRC,2026-10-31T00:00:00.000Z,Lago Billing,REGULAR,,,NymCard-ARE-AED,NymCard-ARE-AED-Virtual-3,VISA,TRUE
GDOsonBAro85vZwiO6fST,46,46,11,User 1 ,PHYSICAL,TERMINATED,,828,2022-09-12T12:16:27.716Z,2023-09-12T13:14:42.199Z,,CARNIVAL,2023-03-15T09:58:46.000Z,2022-09-12T12:16:27.706Z,,RcYNaxmVGxU70qQXeiQRC,,,REGULAR,,,NymCard-ARE-AED,NymCard-ARE-AED-Physical,VISA,TRUE
Q4JPL526-2g_niNKZQlKa,46,257,11,User 1,VIRTUAL,ACTIVE,,115,2023-05-08T15:32:24.288Z,2023-10-30T10:11:52.129Z,,OCEAN_CARNIVAL,2023-05-08T15:32:28.000Z,2023-05-08T15:32:28.000Z,,RcYNaxmVGxU70qQXeiQRC,2026-05-31T00:00:00.000Z,Business 1 Ads,REGULAR,,NymCardCommercialVirtualProduct,NymCard-ARE-AED,NymCard-ARE-AED-Virtual-3,VISA,TRUE
ZtGeinashAVYNqPX8IGdS,46,46,11,User 1,VIRTUAL,ACTIVE,,6000,2023-10-30T13:36:21.235Z,2023-10-30T13:36:25.198Z,,CHEESECAKE_PANDA,2023-10-30T13:36:25.000Z,2023-10-30T13:36:25.000Z,,RcYNaxmVGxU70qQXeiQRC,2026-10-31T00:00:00.000Z,Google Ads,REGULAR,,,NymCard-ARE-AED,NymCard-ARE-AED-Virtual-4,MASTER,TRUE
jRwqR3_sI9gI7ZKlRSThw,46,48,11,User 1,PHYSICAL,TERMINATED,,414,2022-08-18T09:11:30.530Z,2023-01-19T11:38:55.293Z,,CARNIVAL,2022-08-18T09:11:32.000Z,2022-08-18T09:11:30.528Z,,RcYNaxmVGxU70qQXeiQRC,,,REGULAR,,,NymCard-ARE-AED,NymCard-ARE-AED-Physical,VISA,TRUE
6_2z3IQ74qiEJH-8U1Qx8,46,48,11,Guy,VIRTUAL,SUSPENDED,,34,2022-07-31T05:20:01.821Z,2023-05-14T13:43:14.899Z,,CHEESECAKE_PANDA,2022-09-04T13:36:37.000Z,2022-08-17T11:43:06.424Z,,RcYNaxmVGxU70qQXeiQRC,,,REGULAR,,,NymCard-ARE-AED,NymCard-ARE-AED-Virtual,VISA,TRUE
aW9qBLEcm-UP9vxviBOTT,46,46,11,User 1,VIRTUAL,TERMINATED,,12,2023-11-01T12:02:12.122Z,2023-11-02T04:32:57.335Z,,JUNGLE_CARNIVAL,2023-11-01T12:02:17.000Z,2023-11-01T12:02:17.000Z,,RcYNaxmVGxU70qQXeiQRC,2026-11-30T00:00:00.000Z,Business 1 Egypt Husna,REGULAR,,,NymCard-ARE-AED,NymCard-ARE-AED-Virtual-4,MASTER,TRUE
HBKXLNFOku3mfDlEPbS66,46,843,11,fog,VIRTUAL,TERMINATED,,1685,2022-12-15T12:07:11.277Z,2023-01-20T10:00:49.617Z,,CARNIVAL,2022-12-15T12:07:13.000Z,2022-12-15T12:07:11.276Z,,RcYNaxmVGxU70qQXeiQRC,,,REGULAR,,,NymCard-ARE-AED,NymCard-ARE-AED-Virtual,VISA,TRUE
EMc2iZ_2H59_pD1OM7xdY,46,46,11,User 1,VIRTUAL,ACTIVE,,3007,2023-10-30T10:07:43.600Z,2023-11-02T04:34:20.287Z,,JUNGLE_CARNIVAL,2023-10-30T10:07:47.000Z,2023-10-30T10:07:47.000Z,,RcYNaxmVGxU70qQXeiQRC,2026-10-31T00:00:00.000Z,Facebook Ads,REGULAR,,,NymCard-ARE-AED,NymCard-ARE-AED-Virtual-4,MASTER,TRUE
3GVBX9q6U3do8WBDJJZdo,46,46,11,User 1,VIRTUAL,ACTIVE,,4941,2023-11-21T17:14:04.673Z,2023-11-21T17:14:10.749Z,,EGGSHELL_CARNIVAL,2023-11-21T17:14:10.000Z,2023-11-21T17:14:10.000Z,,RcYNaxmVGxU70qQXeiQRC,2026-11-30T00:00:00.000Z,Marketing Team,REGULAR,,,NymCard-ARE-AED,NymCard-ARE-AED-Virtual-3,VISA,TRUE
