id,card_id,clearing_timestamp,financial_account_id,reversal_timestamp,status,status_reason_id,transaction_timestamp,type,actual_amount,actual_currency,billing_amount,billing_currency,dr_cr,fee_amount,fee_currency,fee_details,issuer_id,mcc,merchant,merchant_city,merchant_country,transaction_amount,transaction_currency
zukoYWEhsk5fHIa0PpVx5,kPHQFYabjbu3Vn_kVp1v7,2023-09-01T02:00:27.780Z,RcYNaxmVGxU70qQXeiQRC,,REFUNDED,P0000,2023-09-01T02:00:27.780Z,CARD,457255,AED,457255,AED,CREDIT,0,AED,{},NymCard-ARE-AED,5732,B.TECH,CAIRO E. -07E,EGY,3855000,EGP
mZLJhs5YlJwsi-DrW1utk,wiMbTcrcAvSaWLbgRRiIm,2023-09-03T02:10:36.642Z,RcYNaxmVGxU70qQXeiQRC,,SETTLED,P0000,2023-09-01T07:58:37.938Z,CARD,9000,AED,9000,AED,DEBIT,0,AED,{},NymCard-ARE-AED,5814,MOHAMED AALY MAGHRABI WA,DUBAI,ARE,9000,AED
NhJaN3SbonarcB5bJ_zRy,Q4JPL526-2g_niNKZQlKa,2023-09-03T02:18:59.138Z,RcYNaxmVGxU70qQXeiQRC,,SETTLED,P0000,2023-09-01T11:32:46.209Z,CARD,340542,AED,330623,AED,DEBIT,9919,AED,"{""fx"":9919}",NymCard-ARE-AED,7311,FACEBK *WVAMKST7V2,fb.me/ads,IRL,90000,USD
hLDNe4T56EjThzCNytaRl,Q4JPL526-2g_niNKZQlKa,2023-09-03T02:20:07.626Z,RcYNaxmVGxU70qQXeiQRC,,SETTLED,P0000,2023-09-01T13:03:00.524Z,CARD,285783,AED,277459,AED,DEBIT,8324,AED,"{""fx"":8324}",NymCard-ARE-AED,4816,GOOGLE*GSUITE FINTECH_CO.IO,CC GOOGLE.COM,IRL,75528,USD
d7tgbVrzYWhTfg4TCyu4f,_a0yx_BzExI31xMHgA8O2,2023-09-03T02:19:37.013Z,RcYNaxmVGxU70qQXeiQRC,,SETTLED,P0000,2023-09-01T16:10:13.188Z,CARD,131434,AED,127606,AED,DEBIT,3828,AED,"{""fx"":3828}",NymCard-ARE-AED,7311,GOOGLE*ADS1909436725,CC GOOGLE.COM,IRL,34736,USD
shdZ3nEtnKLzjYP6Auh_V,T_57fv25taQ5rNtlyl_fZ,,RcYNaxmVGxU70qQXeiQRC,,FAILED,P1022,2023-09-01T16:28:00.455Z,CARD,1000,AED,1000,AED,DEBIT,0,AED,{},NymCard-ARE-AED,9399,SmartDXBGov-RTA,Dubai,ARE,1000,AED
oq7GGnC4EdHWAHYG1b8Vu,T_57fv25taQ5rNtlyl_fZ,2023-10-26T23:50:14.513Z,RcYNaxmVGxU70qQXeiQRC,,SETTLED,P0000,2023-09-01T16:32:14.355Z,CARD,1000,AED,1000,AED,DEBIT,0,AED,{},NymCard-ARE-AED,9399,SMART DUBAI GOVERNMENT,Dubai,ARE,1000,AED
wwtyUIODWv_VSL2XC9qUg,T_57fv25taQ5rNtlyl_fZ,2023-10-26T23:50:17.354Z,RcYNaxmVGxU70qQXeiQRC,,SETTLED,P0000,2023-09-01T16:37:21.872Z,CARD,1000,AED,1000,AED,DEBIT,0,AED,{},NymCard-ARE-AED,9399,SMART DUBAI GOVERNMENT,Dubai,ARE,1000,AED
ikiF-XnILHxAuLFJkgduh,T_57fv25taQ5rNtlyl_fZ,,RcYNaxmVGxU70qQXeiQRC,,FAILED,P1022,2023-09-01T16:44:35.481Z,CARD,1000,AED,1000,AED,DEBIT,0,AED,{},NymCard-ARE-AED,9399,SmartDXBGov-RTA,Dubai,ARE,1000,AED
KxTWlSTaMV2N8QzDSDrkJ,T_57fv25taQ5rNtlyl_fZ,,RcYNaxmVGxU70qQXeiQRC,,FAILED,P1022,2023-09-01T16:46:07.980Z,CARD,1000,AED,1000,AED,DEBIT,0,AED,{},NymCard-ARE-AED,9399,SmartDXBGov-RTA,Dubai,ARE,1000,AED
