year	month	year_month	transaction_currency	exposure_type	txn_count	total_billing_aed	total_usd_equivalent	avg_billing_aed	pct_of_monthly_spend
--------------------------------------------------------------------------------------------------------------------------------------------
2023	09	2023-09	USD	Foreign	94	1.8700913E7	5092258.61	198945.88	74.96
2023	09	2023-09	AED	Domestic	77	4550295.0	1239045.33	59094.74	18.24
2023	09	2023-09	EUR	Foreign	7	1336750.0	363997.03	190964.29	5.36
2023	09	2023-09	SAR	Foreign	24	281196.0	76569.67	11716.5	1.13
2023	09	2023-09	EGP	Foreign	4	79454.0	21635.32	19863.5	0.32
2023	10	2023-10	USD	Foreign	113	2.2804314E7	6209614.7	201808.09	83.98
2023	10	2023-10	AED	Domestic	83	3011995.0	820166.24	36289.1	11.09
2023	10	2023-10	SAR	Foreign	6	908501.0	247384.82	151416.83	3.35
2023	10	2023-10	EUR	Foreign	4	344541.0	93818.51	86135.25	1.27
2023	10	2023-10	EGP	Foreign	2	85545.0	23293.9	42772.5	0.32
2023	11	2023-11	USD	Foreign	126	2.3882598E7	6503231.44	189544.43	86.98
2023	11	2023-11	AED	Domestic	45	3201785.0	871846.06	71150.78	11.66
2023	11	2023-11	EUR	Foreign	7	356136.0	96975.83	50876.57	1.3
2023	11	2023-11	SAR	Foreign	3	14450.0	3934.74	4816.67	0.05
2023	11	2023-11	EGP	Foreign	2	1653.0	450.11	826.5	0.01
